index,title,id,description
348,Intraarterial Infusion Of Erbitux and Bevacizumab For Relapsed/Refractory Intracranial Glioma In Patients Under 22,NCT01884740,The experimental aspects of this treatment plan will include:  Subjects will first be treated with Mannitol prior to chemotherapy infusion (Mannitol 25%; 10 mL over 2 minutes) in order to disrupt the blood brain barrier. This technique has been used in several thousand patients in previous studies for the IA delivery of chemotherapy for malignant glioma. We have used this without complication in our patients from our Phase I protocols as well. To treat patients <22 years of age with recurring or relapsing glioma with a single intraarterial delivery (SIACI) of Cetuximab and Bevacizumab. Our Phase I trials have demonstrated the safety of SIACI delivery of these drugs in adults. This trial will focus on the safety and efficacy in patients <22 years of age.
349,Panitumumab and Irinotecan for Malignant Gliomas,NCT01017653,"This is a phase II study of the combination of panitumumab with irinotecan in malignant glioma patients. The primary objective of the study is to determine the activity of the combination of panitumumab with irinotecan as measured by 6-month progression-free survival. Secondary objectives include the following- to determine the safety of panitumumab in combination with irinotecan in patients with malignant glioma; to determine the effect of panitumumab in combination with irinotecan on corticosteroid dose for each patient; to explore any relationship between epidermal growth factor receptor (EGF-R) mutational analysis and efficacy or toxicity; and, to determine the response rate and overall survival of recurrent glioblastoma (GBM) patients treated with panitumumab in combination with irinotecan.  The patients will have histologically documented grade 4 malignant gliomas (glioblastoma multiforme or gliosarcoma) that have failed at least one prior chemotherapy regimen and all patients will have received radiation therapy. This study will investigate second or greater line of therapy for recurrent grade 4 malignant glioma. The patient population will include 32 patients.  The patients will undergo a baseline magnetic resonance imaging (MRI) as well as a MRI after every six-week cycle to determine response and progression. After 16 patients with recurrent GBM are treated, an interim analysis will be conducted. The most common side effects associated with panitumumab have been dermatological (skin) problems such as erythema (redness of the skin), acneiform rash (skin eruptions of the face), skin exfoliation, pruritus (itching), skin fissures (skin tears), xerosis (dryness of the eye, skin, or mouth), and rash. The most common side effects associated with irinotecan have been decreased blood counts of platelets (increased risk of bleeding), white blood cells (increased risk of infection), red blood cells (anemia); diarrhea, constipation, nausea, vomiting, tiredness, fever, mouth sores, dehydration (excessive loss of body fluids), rash, itching, changes in skin color, swelling, numbness, tingling, dizziness, confusion, low blood pressure, sweating, hot flashes, hair loss, inflammation of the liver, flu-like symptoms, decreased urine output, shortness of breath, and pneumonia (inflammatory disease of the lungs)."
350,Dovitinib in Treating Patients With Recurrent or Progressive Glioblastoma,NCT01753713,"PRIMARY OBJECTIVES:  Anti-angiogenic Therapy Naive Patients: To determine 6 month progression-free survival (PFS6) in anti-angiogenic therapy (including anti-vascular endothelial growth factor (VEGF) therapy or bevacizumab) naive patients with recurrent glioblastoma (GBM) in patients treated with dovitinib  Anti-angiogenic Therapy Patients: To estimate time to progression in patients with recurrent or progressive Glioblastoma who have progressed on anti-angiogenic therapy (including anti-VEGF therapy).  SECONDARY OBJECTIVES:  To evaluate the side effect profile of dovitinib in both patient populations. To evaluate the efficacy of dovitinib as measured by objective response rate (ORR) in both patient populations. To estimate time to percentage of patients free from progression at 6 months (PFS-6)in patients with recurrent or progressive Glioblastoma who have progressed on antiangiogenic therapy (including anti-VEGF therapy). (Anti-angiogenic Therapy Patients) To estimate time to progression in anti-angiogenic therapy (including anti-VEGF therapy or bevacizumab) naiVe patients with recurrent glioblastoma (GBM) in patients treated with dovitinib. (Anti-angiogenic Therapy Naive Patients) To evaluate the overall survival (OS) in both patient populations.  EXPLORATORY OBJECTIVES:  To explore association between clinical outcome and potential biomarkers that may include microparticles, PlGF, PDGF-AA, PDGF-AB, PDGF-BB, SDF-1a, thrombospondin-1, Ang1, and Il-6, IL-8 and FGF.  OUTLINE:  Patients receive dovitinib orally (PO) 5 days a week. Courses repeat every 4 weeks in the absence of disease progression or unacceptable toxicity.  After completion of study treatment, patients are followed up for 30 days."
351,Talazoparib - Carboplatin for Recurrent High-grade Glioma With DDRd,NCT04740190,"Recurrent high grade glioma with dDDR, defined by genomic aberrations associated including IDH mutation, PTEN mutation and ""BRCAness"" signature as defined by next-generation-sequencing (NGS) based comprehensive genomic profiling, will be enrolled.  Patients will receive treatment in 7-day cycle. D1-4: Oral talazoparib 0.75mg daily; D1: Carboplatin (AUC 1.5). On cycle 1 day 1 low dose whole radiation radiation therapy will be given to increase drug penetration. Primary outcome is 6-month progression free survival (PFS-6) by RANO criteria. The study intended to recruit 33 subjects"
352,Safety and Efficacy Study to Treat Recurrent Grade 4 Malignant Brain Tumors,NCT00104091,Immunotoxin therapy may be effective in treating malignant glioma. Immunotoxins can locate tumor cells and kill them without harming normal cells.
353,Tryptophan Metabolism in Human Brain Tumors,NCT02367482,"If you agree to take part in this research study, you will be asked to have:  1. A PET scan, 2. brief clinical questionnaires, and 3. biochemical studies of blood and tumor tissue. You will also have a second PET scan later, 2-3 months after the start of NovoTTF therapy, to determine if there are changes in the tumor that can be detected by PET. Your ability to participate in the study will be based, in part, on the results of the magnetic resonance images (MRI) in your medical chart from earlier clinical procedures. Once we receive the results of the PET scan, these will be compared to the MRI in order to help us analyze the tryptophan uptake in your brain. It will take about 3 hours to complete the PET scan; this includes the completion of the questionnaire, preparation and scanning. The actual scanning time will be 70 minutes. If you are a female of child-bearing age, we will need a small urine sample from you before starting the PET scanning procedure to make absolutely sure that you do not have unknown pregnancy for which radiation exposure might be harmful.  The PET scan will be used to measure the accumulation of the injected radioactive tracer AMT in your brain. To make this measurement more accurate, we will use your clinically obtained MRI scan(s), which was used to diagnose the tumor, to identify the exact location and extent of the tumor. For the PET scan, an intravenous catheter (a small tube placed in your vein) will be inserted for the injection of the AMT for this PET scan. It is the tracer that the PET scanner ""sees"" when performing the scan. The amount of the tracer, which will be given is very small (5 ml, the volume of a teaspoon), and therefore no side effects are expected from the tracer itself. A second intravenous catheter will be inserted to collect blood samples during the scan; a total of less than 2 teaspoons of blood will be collected. Participants may be sedated (put into sleep with some medicine) if they are unable to remain still for the scanning period. On the day of the PET scan, we will ask you to fill out a brief clinical questionnaire, and also an additional multiple-choice questionnaire to screen for potential mood problems (which often coincide with brain tumors). Participants with a potential speech (comprehension) problem will also be administered a brief speech test. The goal of these tests is to identify various clinical problems that can be associated with brain tumors and affected by abnormal tryptophan metabolism that we measure with the PET scan. If you have surgery to remove the tumor, a portion of the removed tissue will be used for biochemical studies. The doctor will not remove more tissue than needed for your care. The blood (obtained during the PET scanning) and tumor tissue (obtained during surgery) will be processed for analysis and stored in a locked container or freezer in a laboratory. In addition, we will review the clinical pathology report, so that we can correlate your PET results to type and grade of the tumor."
354,BPM31510 in Treating Patients With Recurrent High-Grade Glioma Previously Treated With Bevacizumab,NCT03020602,"Primary Objective:  Assess the safety and tolerability of BPM31510 plus vitamin K in subjects with high-grade glioma(HGG), defined as anaplastic astrocytoma (AA) or glioblastoma (GB) that has recurred on a BEV containing regimen.  Secondary Objectives:  To evaluate plasma pharmacokinetics (PK) when BPM31510 plus vitamin K is given to subjects with HGG recurrent on a BEV containing regimen.  Exploratory Objectives:  Estimate the overall survival in subjects with HGG recurrent on a BEV containing regimen from the 1st day of infusion of BPM31510 plus vitamin K to death. To evaluate the effects of BPM31510 plus vitamin K on shifting HGG metabolism to aerobic respiration by PET imaging. To evaluate the effects of BPM1510 plus vitamin K on MRI imaging by Response Assessment in Neuro Oncology (RANO) criteria [specifically progression free survival (PFS) and response rate (RR)]. To evaluate plasma pharmacodynamics (PD) when BPM31510 plus vitamin K is given to subjects with HGG recurrent on a BEV containing regimen."
355,A Study to Assess the Safety and Tolerability of AZD1390 Given With Radiation Therapy in Patients With Brain Cancer,NCT03423628,"This first time-in patients (FTIP), open-label, multicentre study of AZD1390 will be conducted in the United States and in the United Kingdom, and it consists of three treatment arms: Arm A, B, C. This Phase 1 study will assess safety and tolerability of AZD1390 in combination with radiation therapy (RT) in brain malignancies. The combination cohorts have been designed to assess escalating cumulative doses of AZD1390 in settings with 3 different radiation treatment regimens:  Arm A: 35 Gy over 2 weeks with intensity-modulated radiation therapy (IMRT) in patients with recurrent Glioblastoma Multiforme (GBM) Arms B: 30 Gy over two weeks with whole brain radiation therapy (WBRT)/ partial brain radiation therapy (PBRT) in patients with brain metastases. **Arm B has now closed to recruitment** Arm C: 60 Gy over 6 weeks (IMRT) in patients with primary GBM Each arm provides standard of care RT for the disease setting indicated with the experimental agent being administered in dose escalating cohorts."
356,Imaging Biomarkers of Tissue Microstructure and Vasculature as Predictors of Glioblastoma Multiforme,NCT01604590,"This study is for subjects with a diagnosis of a brain tumor called glioblastoma that is being treated with bevacizumab. Bevacizumab is a drug that your doctor believes is the best treatment option available to subjects at this time for this type of tumor. Bevacizumab affects the growth of blood vessels by tumors such as glioblastoma, thus effectively starving the tumor of oxygen and food.  Magnetic Resonance Imaging (MRI) is a test done by a machine in the radiology department that takes pictures of your body using special magnets, rather than X-rays. With a new MRI scan technique the investigators can take very, very detailed images of the vessel and tumor structure. This project will allow us to compare the images of vessel and tumor structure to the effectiveness of Bevacizumab as a treatment option. With this project the investigators will hopefully develop an accurate way to predict whether or not Bevacizumab will be an effective treatment option for patients."
357,Evaluation Of The Treatment Effectiveness Of Glioblastoma / Gliosarcoma Through The Suppression Of The PI3K/Akt Pathway In Compared With MK-3475,NCT02430363,"A humanized monoclonal IgG4 antibody directed against human cell surface receptor PD-1 (programmed death-1 or programmed cell death-1) with potential immunopotentiating activity. Upon administration, pembrolizumab binds to PD-1, an inhibitory signaling receptor expressed on the surface of activated T cells, and blocks the binding to and activation of PD-1 by its ligands, which results in the activation of T-cell-mediated immune responses against tumor cells. The ligands for PD-1 include PD-L1, which is expressed on antigen presenting cells (APCs) and overexpressed on certain cancer cells, and PD-L2, which is primarily expressed on APCs. Activated PD-1 negatively regulates T-cell activation through the suppression of the PI3K/Akt pathway.  This study will identify the effectiveness of oral inhibitors of PI3K / Akt pathway in comparison with MK-3475 (pembrolizumab)."
358,MK-2206 for Recurrent Malignant Glioma,NCT01249105,"Participants will have the following tests and procedures within 2 days before the first dose of MK-2206: medical history, physical examination, blood tests, urine tests and EKG. Participants in Part 2 of this research study may also have optional FDG-PET imaging done. If the participant agrees, they will have two PET scans performed; one within a week before beginning study drug, and another within 3 days after starting study drug. Participants in Part 1 will take MK-2206 orally prior to surgery on days 1-8 (with surgery after the MK-2206 dose on day 8). They will have an EKG within 4-8 hours after their first dose of MK-2206, and again on Day 8. During surgery, a sample of the tumor will be taken for research. The tumor tissue will be analyzed to measure the level of MK-2206 in the tumor and to study the effect of the drug on the tumor. Genetic tests will be done on the tumor tissue to determine if the tumor's genetic profile can predict response to treatment. You will also have 3 teaspoons of blood drawn to measure the level of MK-2206 in the blood. An assessment of the participant's tumor by MRI or CT scan will be done within 96 hours of surgery to determine how much of the tumor has been removed. One to 4 weeks after surgery (within 14 days of the last MRI/CT scan), MK-2206 treatment will restart at the same schedule as before surgery (weekly dosing). Within 2 days prior to restarting MK-2206 the following tests and procedures must be completed: medical history, physical examination, blood tests, urine test and EKG. Participants in both groups will receive MK-2206 by mouth once a week (Days 1, 8, 15, and 22). Participants will receive an EKG within 4-8 hours after their first dose of MK-2206 (for Part 1 participants, this is day 1 pre-surgery; for Part 2 participants, this is day 1 of the first cycle of treatment). Participants will receive an EKG weekly during their first cycle of treatment with MK-2206. The following tests and procedures are required within 2 days before the start of each subsequent 4-week cycle of MK-2206 treatment: medical history, physical examination, blood tests, urine test, and EKG. Each treatment cycle lasts 4 weeks during which time participants will be taking the study drug once a week. In addition, patients will also need the following tests/procedures performed during treatment cycles: medical history and physical examination on Day 15 (+/- 2 days) of Cycles 1 and 2 and blood tests weekly during Cycle 1 and on Day 15 (+/- 2 days) of cycle 2. Assessments of the tumor by MRI will be performed within one week prior to the start of each odd-numbered cycle, starting with cycle 3. Participants can continue to receive study drug until their disease worsens or develop unacceptable side effects."
359,ANG1005 in Patients With Recurrent High-Grade Glioma,NCT01967810,See above.
360,BIBF 1120 for Recurrent High-Grade Gliomas,NCT01380782,"This is a two arm, multicenter, open label phase II trial in adult patients with recurrent supratentorial high-grade glioma. One arm (the ""bevacizumab na?ve"" arm) will enroll patients who have not received prior bevacizumab therapy, and the other arm (the ""post-bevacizumab"" arm) will enroll patients who have experienced progression on bevacizumab.  All subjects will receive BIBF 1120 at 200mg orally, twice daily in cycles of 28 days. Subjects will come to the clinic on Day 1 of each cycle (or within 2 days prior) for blood and urine tests and a physical and neurologic exam. Bloods will also be checked within 2 days before or after Day 15 of Cycles 1 and 2. An additional blood sample will be taken on Days 1 and 8 of Cycle 1, at the start of every even-numbered cycle, and at the end of active study treatment. Subjects will have gadolinium-enhanced brain MRI scans performed with tumor measurements at screening, at the start of even-numbered cycles, and at the end of active study treatment(unless already obtained within 4 weeks of completing study treatment). 40 study subjects will have diffusion- and perfusion-weighted MRI at baseline, after 1 week on therapy (¡¾ 2 days), within 2 days prior to the start of every even-numbered cycle, and at the end of treatment (unless already obtained within 4 weeks of completing study treatment)."
361,TVB- 2640 in Combination With Bevacizumab in Patients With First Relapse of High Grade Astrocytoma,NCT03032484,"Eligible patients will be randomized into 2 separate arms:  Arm number one will receive Bevacizumab every 2 weeks in combination with TVB-2640 from day 1 until day 28 of the first cycle. Arm number two will receive Bevacizumab alone every 2 weeks, from on days 1 and 15 of the first until day 28 of the first cycle. MR-Spectroscopy will be obtained on all patients (both arms) at day 28 of first cycle. Starting on cycle 2 day 1, all patients will converge to a single arm and will continue to receive bevacizumab every 2 weeks in combination with TVB-2640. Every cycle will last 28 days."
362,BGB-290 and Temozolomide in Treating Patients With Recurrent Gliomas With IDH1/2 Mutations,NCT03914742,"PRIMARY OBJECTIVES:  (Phase I) I. Determine the safety and tolerability of the combination of PARP inhibitor BGB-290 (BGB-290) and temozolomide (TMZ) in patients with recurrent IDH1/2 mutant glioma, including the maximum tolerated dose (MTD) and characterization of dose-limiting toxicities (DLTs) in the Phase I portion.  (Phase II) II. Determine the overall response rate of BGB-290 with TMZ in patients with recurrent IDH1/2-mutant gliomas that have progressed on TMZ and another alkylator (Arm A) in the Phase II portion.  III. Determine the overall response rate of BGB-290 with TMZ in patients with recurrent IDH1/2-mutant glioma that have failed one alkylator with >= 12 months since last treatment (Arm B) in the Phase II portion.  PRIMARY OBJECTIVES:  I. Determine the safety and tolerability of the combination of PARP inhibitor BGB-290 (BGB-290) and temozolomide (TMZ) in patients with recurrent IDH1/2 mutant glioma, including the maximum tolerated dose (MTD) and characterization of dose-limiting toxicities (DLTs) in the Phase I portion. (Phase I) II. Determine the overall response rate of BGB-290 with TMZ in patients with recurrent IDH1/2-mutant gliomas that have progressed on TMZ and another alkylator (Arm A) in the Phase II portion. (Phase II) III. Determine the overall response rate of BGB-290 with TMZ in patients with recurrent IDH1/2-mutant glioma that have failed one alkylator with >= 12 months since last treatment (Arm B) in the Phase II portion. (Phase II)  SECONDARY OBJECTIVES:  I. Determine the progression-free survival (PFS) and overall survival (OS) after treatment with BGB-290 and TMZ in recurrent IDH1/2-mutant gliomas in Arms A and B.  II. Determine the duration of response to therapy in recurrent IDH1/2-mutant glioma.  III. Confirm the safety and tolerability of BGB-290 in combination with TMZ.  EXPLORATORY OBJECTIVES:  I. Assess tumor response rates, PFS, and OS in patients with World Health Organization (WHO) grade IV glioblastoma (GBM) treated with BGB-290 and TMZ.  II. Assess the mutational landscape via whole-exome sequencing (WES). III. Assess gene expression patterns using ribonucleic acid (RNA) sequencing (RNAseq).  IV. Assess the methylation profiling with Infinium methylation assays. V. Quantify 2-hydroxyglutarate (2HG) in archival formalin-fixed paraffin-embedded (FFPE) specimens via liquid chromatography mass spectrometry (LC-MS) detection and correlate with treatment response.  VI. Correlate response with 2HG levels, somatic alterations, gene expression/methylation patterns in FFPE tumor tissue.  VII. Assess tumor tissue BGB-290 levels, 2HG, and PolyADP-ribosylation (PARylation) in a patient subset treated with drug prior to re-resection.  VIII. Evaluate changes in tumor growth rate in subjects with non-enhancing glioma based on fluid attenuated inverse recovery (FLAIR) tumor volume measurements of serial MRI exams.  IX. Assess if change in tumor growth rate (based on FLAIR tumor volume) in subjects with non-enhancing glioma before and after treatment is associated with progression by Response Assessment in Neuro-Oncology for Low Grade Gliomas (RANO LGG; phase II patients only) or survival.  OUTLINE: This is a phase I, dose de-escalation study of temozolomide followed by a phase II study.  PHASE I: Patients receive PARP inhibitor BGB-290 orally (PO) twice daily (BID) on days 1-28 and temozolomide PO once daily (QD) on days 1-28, 1-21, 1-14, or 1-7. Courses repeat every 28 days in the absence of disease progression or unacceptable toxicity.  SURGICAL PORTION: 10 patients eligible for re-resection at the time of recurrence receive PARP inhibitor BGB-290 PO BID on days 1-6 and QD on day 7 (the morning of surgery). Within 45 days after surgery, patients receive PARP inhibitor BGB-290 PO BID on days 1-28 and temozolomide on the schedule established in Phase I. Courses repeat every 28 days in the absence of disease progression or unacceptable toxicity.  PHASE II: Patients receive PARP inhibitor BGB-290 PO BID on days 1-28 and temozolomide PO QD on the schedule established in Phase I. Courses repeat every 28 days in the absence of disease progression or unacceptable toxicity.  After completion of study treatment, patients are followed up for 30 days, every 2 months for 2 years, then every 6 months thereafter."
363,Fluoroethyltyrosine in Detecting Tumors in Participants With Recurrent Intracranial Tumors,NCT04044937,"PRIMARY OBJECTIVES:  I. To determine if F-18 fluoroethyltyrosine (FET) PET can differentiate between benign treatment-related changes and recurrence in comparison to pathology alone in population 1.  II. To determine if FET PET can accurately differentiate between low-grade and high-grade glial neoplasms in population 2.  SECONDARY OBJECTIVES:  I. To determine if FET PET can differentiate between benign treatment-related changes and recurrence in comparison to pathology or imaging follow-up in population 1.  II. To determine if FET PET can differentiate between benign treatment-related changes and recurrence in comparison to pathology alone in population 1 patients with recurrent low-grade gliomas (grades 1 and 2).  OUTLINE:  Participants receive F-18 fluoroethyltyrosine intravenously (IV) over approximately 1 minute and undergo PET over 40 minutes.  After completion of study treatment, participants are followed up periodically."
364,Oncolytic Adenovirus DNX-2401 in Treating Patients With Recurrent High-Grade Glioma,NCT03896568,"PRIMARY OBJECTIVES:  I. To determine the maximal tolerated dose (MTD) of allogeneic bone marrow-derived human mesenchymal stem cells (BM-hMSCs) loaded with the oncolytic adenovirus DNX-2401 (BM-hMSCs-DNX2401) administered by intra-arterial injection (i.e., transfemoral super-selective endovascular intracranial injection) in patients with recurrent glioblastoma (GBM), gliosarcoma or wild-type IDH-1 anaplastic astrocytoma.  II. To determine the local and systemic toxicity of allogeneic BM-hMSCs-DNX2401 administered by intra-arterial injection (i.e., transfemoral super-selective endovascular intracranial injection) in patients with recurrent GBM, gliosarcoma or wild-type IDH-1 anaplastic astrocytoma.  III. To determine at the molecular and cellular level the capacity of allogeneic BM-hMSCs-DNX2401 administered intra-arterially to home to and deliver DNX-2401 to recurrent GBM, gliosarcoma or wild-type IDH-1 anaplastic astrocytoma by analyzing post-treatment surgical brain tumor specimens for the expression and distribution of adenoviral proteins.  SECONDARY OBJECTIVES:  I. To assess shedding of adenovirus into the blood, sputum, and nasopharynx after intra-arterial administration of BM-hMSCs-DNX2401 in patients with recurrent GBM, gliosarcoma or wild-type IDH-1 anaplastic astrocytoma.  II. To assess the development of anti-adenovirus antibodies after intra-arterial administration of BM-hMSCs-DNX2401 in patients with recurrent GBM, gliosarcoma or wild-type IDH-1 anaplastic astrocytoma.  III. To evaluate immune-mediated cytokine responses after intra-arterial administration of BM-hMSCs-DNX2401 in patients with recurrent GBM, gliosarcoma or wild-type IDH-1 anaplastic astrocytoma.  IV. To assess anti-tumoral activity and to determine progression-free survival (PFS) and overall survival (OS) after intra-arterial administration of BM-hMSCs-DNX2401 in patients with recurrent GBM, gliosarcoma or wild-type IDH-1 anaplastic astrocytoma.  OUTLINE: This is a dose-escalation study.  PART I: Patients receive oncolytic adenovirus Ad5-DNX-2401 intra-arterially (IA) over 20-30 minutes on day 0.  PART II: Patients receive oncolytic adenovirus Ad5-DNX-2401 as in part I. After 2 weeks, patients undergo surgery, then receive oncolytic adenovirus Ad5-DNX-2401 IA over 20-30 minutes.  After completion of study treatment, patients in part I are followed up on days 1, 4, 7, and 14 of month 1, months 1.5, 3, and 4.5, every 2 months up to month 26, month 30, then every 6 months thereafter. Patients in part II will be followed up on the day after surgery, weeks 1, 2 and 4, months 2, 2.5, 4, 5.5 and 7, every 2 months until month 19, every 4 months until month 32, then every 6 months thereafter."
365,STAT3 Inhibitor WP1066 in Treating Patients With Recurrent Malignant Glioma or Progressive Metastatic Melanoma in the Brain,NCT01904123,"PRIMARY OBJECTIVES; I. Identify the maximum tolerated dose (MTD) of STAT3 inhibitor WP1066 (WP1066) in patients with recurrent malignant glioma (glioblastoma, anaplastic glioma), and melanoma patients with progressive brain metastasis.  II. Assess the safety and tolerability of WP1066 in patients with recurrent malignant glioma and melanoma patients with progressive brain metastasis using the National Cancer Institute (NCI) Common Toxicity Criteria (CTC) with special attention directed at determining whether any induced autoimmune reactions occur.  SECONDARY OBJECTIVES:  I. Pharmacokinetic analysis of the in vivo bioavailability of WP1066. II. Assess overall response rate (ORR) in patients with recurrent malignant gliomas and progressive metastatic melanoma to the brain.  III. Assess immunological response in patients with recurrent malignant glioma and melanoma patients with progressive brain metastasis treated with WP1066.  IV. Assess time to radiographically assessed progression and/or response in patients treated with WP1066.  V. Assess progression-free survival (PFS) and overall survival (OS) in patients treated with WP1066.  VI. Estimate the proportion of patients treated with WP1066 who develop additional melanoma metastatic lesions, including those in the central nervous system (CNS).  OUTLINE: This is a dose-escalation study.  Patients receive STAT3 inhibitor WP1066 orally (PO) twice daily (BID) on Monday, Wednesday, and Friday of weeks 1 and 2. Courses repeat every 28 days in the absence of disease progression or unacceptable toxicity.  After completion of study treatment, patients are followed up at 1 and 2 months."
366,Fimepinostat in Treating Brain Tumors in Children and Young Adults,NCT03893487,"PRIMARY OBJECTIVES:  I. To confirm penetration of fimepinostat across the blood brain barrier (BBB) in children and young adults with newly diagnosed diffuse intrinsic pontine glioma (DIPG), recurrent medulloblastoma, or recurrent high-grade glioma (HGG) by measuring concentration of fimepinostat and metabolite in primary tumor tissue.  EXPLORATORY OBJECTIVES:  I. To assess pharmacokinetics (PK) of fimepinostat in plasma and tumor tissue of children and young adults with newly diagnosed DIPG, recurrent medulloblastoma, or recurrent HGG.  II. To assess pharmacodynamics (PD) of fimepinostat in children and young adults with newly diagnosed DIPG, recurrent medulloblastoma, or recurrent HGG as measured by phosphorylation and acetylation in tumor tissue.  III. To correlate acetylation and phosphorylation in tumor tissue with tissue and plasma PK levels.  IV. To assess the safety and tolerability of fimepinostat in children and young adults with newly diagnosed DIPG, recurrent medulloblastoma, or recurrent HGG.  V. To assess preliminary efficacy of fimepinostat given as monotherapy after surgery in children and young adults with newly diagnosed DIPG, recurrent medulloblastoma, or recurrent HGG, as based on progression-free survival (PFS) and objective response rate (ORR) as appropriate.  OUTLINE:  Patients receive fimepinostat orally (PO) once daily (QD) on days -2 to 0. Within 2 hours of receiving fimepinostat on day 0, patients undergo tumor resection.  MAINTENANCE PHASE: Patients receive fimepinostat by mouth, once daily for days 1-5 each week. Cycles repeat every 28 days in the absence of disease progression or unacceptable toxicity for up to 12 months from the time treatment begins. Should patients continue to derive clinical benefit, and not experience excess toxicity or progression, patients can continue to receive drug for up to 24 months or longer pending discussion with study chairs and study sponsor.  After completion of study treatment, patients are followed up at 30 days, then every 3 months for up to 5 years."
367,Individual Patient Compassionate Use of GX-I7,NCT04289155,"This program is being offered on a patient by patient basis and will require company, Institutional Review Board/Independent Ethics Committee and Single Patient IND approval."
368,"Study of VAL-083 in Patients With MGMT Unmethylated, Bevacizumab-naive Glioblastoma in the Adjuvant or Recurrent Setting",NCT02717962,"Recurrent GBM is characterized by a dismal prognosis, with a median overall survival of 6.9 months. While a standard of care is established for the initial treatment of GBM - radiation with concurrent and adjuvant temozolomide chemotherapy - management of recurrent disease (NCCN, 2014) remains suboptimal. Treatment options include repeat surgery, re-irradiation, or chemotherapy (including experimental targeted therapies, biologic agents, and immunotherapies). Only a minority of patients has response to these treatments, and the resultant benefits in progression-free and overall survival are in the order of weeks to months.  Prognosis and response to therapy are known to be better in patients with a methylated MGMT promoter gene. Epigenetic silencing of MGMT by promoter methylation is an important factor in predicting outcome for patients with GBM treated with temozolomide. Approximately 66% of GBM tumors are MGMT unmethylated (high expression of MGMT), which through a MGMT repair mechanism, confers resistance to temozolomide, the standard chemotherapy treatment of GBM.  VAL-083, Dianhydrogalactitol (DAG), unlike temozolomide, is demonstrated to be active independent of MGMT resistance mechanisms, in vitro. Thus, it may provide a treatment option for those patients that are considered likely to be poor responders to temozolomide.  This is a non-comparative, two arm, biomarker-driven study with VAL-083 in GBM patients with either recurrent disease (Group 1) or newly diagnosed GBM patients requiring maintenance therapy after chemoradiation with temozolomide (Group 2).  Group 1: A total of up to 83 patients with recurrent/progressive GBM will be enrolled. This will include 35 patients treated at 40 mg/m2 and up to 48 patients treated at 30 mg/m2.  Group 2: Up to an additional 36 newly diagnosed GBM patients who have completed chemoradiation treatment with temozolomide and received no subsequent maintenance temozolomide will be enrolled.  Eligible patients will receive VAL-083 IV on days 1, 2, and 3, for up to 12, 21-day treatment cycles or until they fulfill one of the criteria for study discontinuation (disease progression, death, intolerable toxicities, investigator's judgment, or withdrawal of consent). Disease status will be evaluated with clinical and MRI evaluation every other 21-day cycle, while the patient is receiving VAL-083 treatment, and then approximately every 42 ¡¾ 7 days while remaining on study. Symptom burden will be evaluated using the MD Anderson Symptom Inventory-Brain Tumor (MDASI-BT) completed by patients at baseline and at the time of each imaging evaluation.  Interval medical histories, targeted physical exams, neurologic evaluations, complete blood counts, and other laboratory and safety assessments will be performed approximately every 21-days. Blood samples will be taken at Cycle 1 Day 1 pre-dose, 15 ¡¾ 5 min, 30 ¡¾ 5 min, 60 ¡¾ 10 min, 120 ¡¾ 10 min, 240 ¡¾ 15 min, and 360 ¡¾ 15 min after the end of the of iv infusion with VAL-083 to determine the PK profile and dose-exposure relationship of VAL-083.  Toxicity will be evaluated and documented using the NCI CTCAE version 4.  This study will take approximately 36 months to enroll."
369,Low Dose Radiation Therapy for Glioblastoma Multiforme,NCT01466686,"In vitro and in vivo studies have suggested that low dose fractionated radiation therapy (LDFRT) may be used to potentiate full dose chemotherapy, decreasing the development of resistance found with standard doses of radiation and chemotherapy. This is a nonrandomized, open label, single institution phase II trial with a safety run-in to evaluate the safety and efficacy of LDFRT plus temozolomide in patients with High Grade Glioma (to only include Anaplastic Astrocytoma or Glioblastoma Multiforme) previously treated with surgical resection followed by adjuvant radiation therapy plus temozolomide. The primary objective of the phase II study is to estimate response rate in patients treated with twice daily fractions of low dose radiation plus temozolomide chemotherapy."
370,Phase 1 Study of IM156 in Patients With Advanced Solid Tumor and Lymphoma,NCT03272256,"The main purpose of first-in-human IM156 study is to evaluate the safety and tolerability, and to determine the maximum tolerated dose and recommended phase 2 dose of IM156."
371,Monteris AutoLITT¢â FIM Safety Trial for Recurrent/Progressive Brain Tumors,NCT00747253,The main purpose of this study is to evaluate the safety and performance of the AutoLITT system for the treatment of recurrent/progressive glioblastoma multiforme tumors (GBM).
