,word,index,count,summary
505,steroid,"{96, 164, 110, 274, 339, 116}",6,"Laser Interstitial Thermal Therapy (LITT) is a new treatment for glioblastoma. The aim of the study is to determine the disease control rate at 6 months in patients treated with LITT at recurrence, followed by salvage chemotherapy. The study also aims to characterize the safety profile of LITT followed by treatment with lomustine. The aim is to determine the role of 'extent of ablation' in outcomes (OS and/or TTP) and to determine any role of lomustine in the treatment of LITT-treated patients. The study was published in the Journal of Clinical Oncology."
506,steroids,"{579, 230, 274, 19, 571}",5,"PVSRIPO is a genetically recombinant, non-pathogenic poliovirus:rhinovirus chimera with a tumor-specific conditional replication phenotype. It consists of the genome of the live attenuated poliovirus serotype 1 (SABIN) vaccine (PV1S) with its cognate internal ribosomal entry site (IRES) element replaced with that of human rhinovirus type 2 (HRV2) PVSRIPO has been manufactured at NCI-Frederick, NCI, NIH. Catheter Implantation: PVSRIPO will be delivered directly into the tumor."
509,stupp,"{413, 342}",2,"Anlotinib is an efficient multi-target tyrosine kinase inhibitor (TKI) that effectively block the migration and proliferation of endothelial cells. For patients with glioblastoma,postoperative radiotherapy combined with concurrent and adjuvant temozolomide (Stupp regimen) can increase the 2-year and 5-year overall survival rates of patients to 26.5% and 9.8% respectively. Here, we prepared to evaluate whether the combination of dose-dense Temozolomide and Anlotinib can preferably improved survival of the first recurrent or progressive GBM after STUPP regimen."
516,sunitinib,"{399, 210, 116, 408, 474}",5,"Participants will take the study drug, sunitinib, for 7 days prior to their surgery. The surgery is part of the routine care for glioblastoma and will be performed on Day 8. The study drug is supplied in capsule form and is to be taken at home. Fourteen days after the participants surgery (Day 22), they will restart sunitinib treatment. This 6 week period is called a cycle of study treatment. Participants can continue to receive cycles of study treatment as long as their disease does not progress and they do not experience any serious side-effects. The study design: Multicenter, phase II/III."
522,tamoxifen,"{200, 489, 493}",3,"The main purpose of this study is to find out the highest possible dose of maprotiline that can be given safely in combination with temozolomide and tamoxifen. Temozolomide is approved to treat glioblastoma and the investigator wants to understand what doses are safe to use. Tamoxifen (TAM), a member of the selective estrogen receptor modulator (SERM) family, is widely used in the treatment of estrogen receptor (ER) expressing breast cancer. It has previously been shown that high-dose TAM has cytotoxic activity against glioma cells, but whether this effect is drug-specific or represents a general property of SERMs was unknown."
523,tandutinib,"{490, 277}",2,"Bevacizumab is a monoclonal antibody directed against vascular- endothelial growth factor (VEGF) Tandutinib is a small molecule inhibitor of fms-like tyrosine kinase receptor-3 (FLT3), platelet derived growth factor receptor (PDGFR), and cKIT (type III receptor tyrosine kinases) Both drugs represent an attempt to further capitalize on the concept of targeting the tumor vasculature. In patients with relapsed and refractory acute myeloid leukemia (AML) their blasts contain an activating internal tandem duplication mutation of FLT3."
524,tarceva,"{435, 399}",2,"Tarceva administered on continuous oral dosing schedule at 150 mg/day for pts not on EIAEDs & 450 mg/day for pt on EIAED's. Starting dose level of dasatinib will be 100 mg once day via continuous oral daily dosing. Dasatinib will be increased in successive cohorts of enrolled pts. Pts will remain on treatment until excessive toxicity, progressive disease, withdrawal of consent/death. Pts have confirmed diagnosis of recurrent/progressive WHO gr IV MG / WHO grade III MG. Glioblastoma multiforme (GBM) is the most common and most aggressive primary brain tumor in adults."
530,temodar,"{425, 533, 484, 317}",4,"1 primary objective is to determine maximum tolerated dose of Temodar in combo w O6-benzylguanine administered for 5 consecutive days in pts w progressive/recurrent GBM. 2nd objective is to characterize toxicity associated w Temozolomide in combo w O 6-BG administered for 5 days. 3rd objective is to determine Neulasta-supported MTD defined as MTD of Temozolomides administered for 5 days while receiving Neulasta once per treatment cycle. Secondary objective is to obtain preliminary response rates of Temodar. Population is Glioblastoma.  Temodar Administration: Temodar administered orally, O6-BG administered intravenously over 1 hr followed by continuous infusion of O6-BG at 30mg/m2/day for 5 consecutive days."
532,temozolomide,"{5, 520, 525, 16, 19, 534, 23, 26, 538, 539, 29, 544, 33, 551, 40, 45, 559, 48, 57, 573, 64, 65, 577, 67, 68, 69, 580, 581, 582, 584, 77, 87, 98, 100, 103, 110, 113, 121, 123, 124, 130, 132, 135, 139, 152, 161, 163, 164, 166, 175, 178, 187, 189, 191, 200, 212, 215, 220, 224, 234, 248, 252, 255, 258, 259, 266, 269, 270, 275, 278, 283, 289, 295, 297, 301, 312, 317, 319, 322, 324, 328, 333, 342, 346, 362, 368, 369, 377, 381, 393, 400, 403, 406, 412, 413, 416, 419, 420, 421, 425, 428, 430, 436, 441, 442, 444, 463, 468, 484}",109,Aflibercept (VEGF Trap) with radiotherapy (RT) and concurrent temozolomide (TMZ) when administered in patients with newly-diagnosed glioblastoma (GBM) or gliosarcoma. To define the MTD of aflibercept with adjuvant TMZ administered at 150mg/m2once daily for 5 days every 28 days in patients with stable or recurrent malignant glioma (MG) after RT. To characterize the safety profile of a flibercept in combination with RT and concomitant TMZ in patients with Newly-diagnosed GBM.
536,temsirolimus,"{187, 467, 190, 151}",4,"Only patients with recurrence after Temozolomide and VEGF-directed therapy with Bevacizumab will be considered for the study. Patients will receive temsirolimus 25 mg IV over 30-60 minutes on days 1, 8, 15 and 22. Treatment repeats every 28 days for a maximum of 12 courses. A safety analysis will be performed when the first 10 patients have received minimum 4 cycles (8 weeks) The study will then be stopped:  If DLT is observed in > 2/10 patients, Occurrence of any serious adverse events not described in the SPC of each agents, If partial remission is not observed in at least 1/10 patients."
543,thalidomide,"{456, 480, 442, 123}",4,"Thalidomide is a drug that interferes with the growth of blood vessels. CPT-11 is a drug that was designed to stop cancer cells from dividing. All participants will take thalidomide capsules by mouth every evening at bedtime. In addition to thalidomide, you will receive treatment with CPT-11 through a continuous injection into a vein over 90 minutes once a week for 4 weeks followed by 2 weeks of rest from the drug. This 6 week period is called a course of therapy. The courses of therapy will be repeated as long as the disease is responding to treatment for up to 2 years."
548,tipifarnib,"{399, 571, 151}",3,"Glioblastoma multiforme (GBM) is the most common and most aggressive primary brain tumor in adults and shows an incidence of 5/100.000 inhabitants per year. In Austria, approximately 350 patients are diagnosed with malignant glioma annually. The mean survival time of adult patients with GBM is only 9-15 months from the time of diagnosis. There is an urgent need for more effective therapeutic approaches based on a better molecular understanding of tumor progression and tumor neovascularization. At present, targeted therapies with small molecule inhibitors directed against receptor tyrosine kinases (RTKs) or downstream signaling pathways seem to be the most promising therapeutic approaches."
551,tmz,"{258, 132, 532, 533, 281, 412, 29, 544, 33, 161, 164, 420, 294, 295, 40, 297, 551, 43, 556, 304, 178, 573, 194, 324, 581, 328, 465, 466, 212, 87, 223, 234, 362, 110, 377}",35,Aflibercept (VEGF Trap) with radiotherapy (RT) and concurrent temozolomide (TMZ) when administered in patients with newly-diagnosed glioblastoma (GBM) or gliosarcoma. To define the MTD of aflibercept with adjuvant TMZ administered at 150mg/m2once daily for 5 days every 28 days in patients with stable or recurrent malignant glioma (MG) after RT. To characterize the safety profile of a flibercept in combination with RT and concomitant TMZ in patients with Newly-diagnosed GBM.
555,toca511,"{384, 385, 387, 391, 301}",5,"This is a multicenter study evaluating the safety and tolerability of Toca 511 administered intravenously to patients with recurrent or progressive Grade III or Grade IV Gliomas. Patients will receive Toca 511 either via stereotactic, transcranial injection into their tumor or via oral Toca FC, an antifungal agent. All patients enrolled in this study will be encouraged to participate in a continuation protocol that enables additional Toca FC administration and the collection of long-term safety and response data. This is a multicenter, open-label, ascending-dose trial of the safety and tolerable of increasing doses of Toca 5 11, a Retroviral Replicating Vector."
556,tocafc,"{387, 391}",2,"This is a multicenter study evaluating the safety and tolerability of increasing doses of Toca 511, a retroviral replicating vector, injected into the resection cavity of patients with Grade III or Grade IV Gliomas. Patients will begin an oral courses of Toca FC, an antifungal agent. Two separate cohorts of patients treated with Toca 511 and Toca FC will also be evaluated with either of the following standard treatments for glioma: lomustine or bevacizumab. This is a multicenter, open-label, continuation study to allow subjects who have previously received Toca 511 to continue to receive Toca FC."
559,topotecan,"{224, 459}",2,"Glioblastoma (GBM) is the most common primary brain tumor. With optimal treatment, median survival is 14.6 months. At progression, treatment options are limited and mostly ineffective. Bevacizumab was approved for recurrent GBM patients. Topotecan is an orally bioavailable topoisomerase I and Hypoxia-inducible factor 1 (HIF-1) alpha inhibitor with reasonably high central nervous system (CNS)/cerebrospinal fluid (CSF) penetration. Recent pre-clinical reports have begun to argue for the clinical testing of metronomic chemotherapy administration in various cancers."
560,tpi,"{304, 466, 179}",3,"This multi-center trial is a phase 1/2 study that will be conducted in two sequential phases, phase 1 and phase 2. Phase 1 of the trial is a dose-escalation study of the safety, tolerability (MTD), and efficacy of TPI 287 in combination with bevacizumab in subjects who have GBM that has progressed following prior radiation therapy and TMZ. The initial cohort of 3 subjects will be treated at a TPI 287 dose of 140 mg/kg. The dose of TPI 287 will be escalated in sequential dose cohorts of 3 to 6 subjects, while the dose of bevaczumab remains constant (10 mg/kg)"
561,tpi287,"{280, 466, 304, 179}",4,"PI 287 is designed to block a protein that causes cancer cells to resist the effects of chemotherapy. By blocking the protein, the drug may be able to cause the cancer cells to shrink or stop growing. Bevacizumab will be given to patients that are found to have brain damage. It is designed to block the growth of new blood vessels. It may help to lower the amount of brain damage related to tumor tissue death and help limit the symptoms of this condition. If you experience intolerable side effects, the dose of TPI 287 may be lowered. Your doctor will tell you more about lowering a dose due to side effects."
562,tr,"{218, 21}",2,TRC105 (anti-endoglin monoclonal antibody TRC105) combined with bevacizumab in recurrent glioblastoma. To establish a maximum tolerated dose (MTD) of TRC105. To assess the safety and adverse events of TRC105 in combination with bevaczumab. To assess the overall survival of patients treated with TRC105. compared to bevacizmab alone. To compare the impact of the treatment on the patients quality of life (QOL) and to determine the efficacy of TRC105 as measured by progression-free survival.
563,tr05,"{218, 431}",2,TRC105 (anti-endoglin monoclonal antibody TRC105) combined with bevacizumab in recurrent glioblastoma. To establish a maximum tolerated dose (MTD) of TRC105. To assess the safety and adverse events of TRC105 in combination with bevaczumab. To assess the overall survival of patients treated with TRC105. compared to bevacizmab alone. To compare the impact of the treatment on the patients quality of life (QOL) and to determine the efficacy of TRC105 as measured by progression-free survival.
564,trametinib,"{540, 519}",2,"The primary goal of this study is to establish concentrations of dabrafenib and trametinib in enhancing brain tissue and cerebrospinal fluid from people with BRAF-V600E mutant recurrent gliomas who undergo tumor resection. The exploratory goals are to measure the amount of ERK signaling pathway activity, to identify mechanisms of resistance to these drugs, and evaluate feasibility of measuring tumor DNA in Cerebrospinal fluid. People (adults or children) with brain tumors who are already taking dabrafenib. and / or trametinib and are in need of a surgical resection are potentially eligible."
566,trc105,"{218, 21, 431}",3,TRC105 (anti-endoglin monoclonal antibody TRC105) combined with bevacizumab in recurrent glioblastoma. To establish a maximum tolerated dose (MTD) of TRC105. To assess the safety and adverse events of TRC105 in combination with bevaczumab. To assess the overall survival of patients treated with TRC105. compared to bevacizmab alone. To compare the impact of the treatment on the patients quality of life (QOL) and to determine the efficacy of TRC105 as measured by progression-free survival.
571,ttac-0001,"{8, 10, 12}",3,"Study Design - Multicenter, open-label, 3 arms, stepwise, phase ��a clinical trial. Study objective:  Primary - To evaluate the safety of TTAC-0001 in patients with recurrent glioblastoma. Secondary - To determine the efficacy of TTAC-0000 in patients with glioblastomas. Exploratory - To evaluate pharmacokinetic (PK) and pharmacodynamic (PD) parameters by clinical biomarker test. Study Methodology  Patients will be sequentially enrolled from the 1st arm. Patients will be treated for up to 1 year, unless a cause for termination occurs."
573,tyrosine,"{224, 490, 399, 19, 405, 342, 151, 474, 412, 413}",10,"Glioblastoma (GBM) is the most common primary brain tumor. With optimal treatment, median survival is 14.6 months. At progression, treatment options are limited and mostly ineffective. Bevacizumab was approved for recurrent GBM patients. Topotecan is an orally bioavailable topoisomerase I and Hypoxia-inducible factor 1 (HIF-1) alpha inhibitor with reasonably high central nervous system (CNS)/cerebrospinal fluid (CSF) penetration. Recent pre-clinical reports have begun to argue for the clinical testing of metronomic chemotherapy administration in various cancers."
579,val-083,"{368, 275}",2,"Recurrent GBM is characterized by a dismal prognosis, with a median overall survival of 6.9 months. Treatment options include repeat surgery, re-irradiation, or chemotherapy. VAL-083, Dianhydrogalactitol (DAG), unlike temozolomide, is unlike temozolmide, is not a chemotherapy drug. It is a non-steroidal anti-inflammatory drug (NSAID) that has been shown to improve the prognosis of patients with GBM. It is not known if VAL-083 will be approved for use in patients with GBM in the U.S."
580,valacyclovir,"{241, 554}",2,"This is a prospective phase I-II study to assess the efficacy and toxicity of HSV-tk + valacyclovir gene therapy in combination with radiotherapy in recurrent glioblastoma multiforme or anaplastic astrocytoma. This study is comprised of patients who have failed standard of care treatment (maximal safe resection followed by chemoradiation). Clinical response will be evaluated by neurological evaluation, neuropsychological testing, and imaging studies as well as by histological examination wherever a re-operation is clinically indicated. Blood samples will be taken for systemic immunological response, blood counts and liver functions tests."
582,valproicacid,"{504, 561, 577}",3,"The combination of sorafenib, valproic acid, and sildenafil may have therapeutic potential for the treatment of recurrent high-grade glioma in the clinic. The study was designed to determine the maximum tolerated dose of bortezomib with or without anticonvulsant drugs known to be metabolized by the P450 hepatic enzyme complex in patients with recurrent glioma. It was also designed to determine the biologic activity of this drug by measuring proteasome 20S activity in these patients. The study was published in the Journal of the American Society of Clinical Oncology."
583,vandetanib,"{147, 543}",2,"Vandetanib will be given to participants in tablet form. The dose taken will depend upon when they are enrolled in the study. Participants will also be given Bactrim, one double-strength table three times each week (Monday, Wednesday, Friday) to help prevent participants from getting a type of pneumonia called pneumocystis pneumonia. The following tests and procedures will be performed before the participants begin taking the study drugs and before every 4 week cycle: Physical exam; medical history; questions about any side effects; tumor assessment by MRI or CT (only before every other cycle); Mini-Mental Status exam (MMSE)"
585,vb-111,"{49, 251, 286}",3,"This is a randomized, controlled, blinded, phase II, surgical trial. Ofranergene obadenovec (VB-111) is the investigational drug being studied. VB-111 has been studied in lab experiments and in other types of cancer. Information from these studies suggest that it may be beneficial for recurrent or progressive glioblastoma. The FDA (the U.S. Food and Drug Administration) has not yet approved this intervention for recurrent or progressiveglioblastoma, but it may be beneficial in the future. It works by targeting and damaging the blood vessels that grow and nourish cancerous tumors leading to tumor starvation."
588,veledimex,"{401, 427, 396, 423}",4,"Patients who are scheduled for craniotomy and tumor resection will receive one dose of veledimex before the resection procedure. Ad-RTS-hIL-12 will be administered by free-hand injection. Patients will continue on oral veledimex for 14 days. The study is divided into three periods: the screening period, the treatment period and the follow-up period. Eligible patients will also receive one dose of cemiplimab-rwlc, via infusion, one week prior to standard of care. The study is expected to be published in the Journal of the American Society for Thoracic Surgery."
593,vincristine,"{441, 178, 163, 468}",4,"Study Objectives:  To evaluate the efficacy of intratumoral/interstitial therapy with TransMID compared to best standard of care in patients with progressive and/or recurrent, non-resectable glioblastoma multiforme. Study Design:  Multicenter, open label, randomized study comparing TransMID with a chemotherapeutic regimen considered to be best standard of care and consisting of nitrosureas, platinum compounds, temozolomide, procarbazine or PCV (procarbazine, lomustine (CCNU) & vincristine). A planned interim analysis of the primary efficacy endpoint will be conducted after approximately 50 percent of the required events have been observed."
601,vorinostat,"{69, 421, 171, 175, 273, 117, 118, 58, 444}",9,"Vorinostat is designed to cause chemical changes in different groups of proteins that are attached to DNA. Erlotinib is designed to block the activity of a protein found on the surface of many tumor cells that may control tumor growth and survival. Temozolomide is designed to kill cancer cells by damaging DNA (the genetic material of cells). The damaged DNA may cause tumor cell death. Three (3) participants will be enrolled at each dose level. The first 3 participants in each group will receive the lowest dose level. Each 3 will remain in the same group for the entire study. Up to 4 dose levels of study drug combinations will be tested in Group 1, up to 2 dose levels in Group 2."
